date,races,top1_hits,top3_hits,top5_hits,top1_rate,top3_rate,top5_rate,data_hash
20250101,33,15,30,33,0.4545,0.9091,1.0,0f6a9ef5c80ca37d
20250102,36,11,34,36,0.3056,0.9444,1.0,31781cb315801f6f
20250103,36,13,33,36,0.3611,0.9167,1.0,af80a6862274e297
20250104,48,16,46,48,0.3333,0.9583,1.0,5395ef58a7ffa827
20250105,22,5,22,22,0.2273,1.0,1.0,be97535420b7dd6a
20250106,32,10,32,32,0.3125,1.0,1.0,11447266f538e7dc
20250107,23,4,22,23,0.1739,0.9565,1.0,f52dbd476462388f
20250108,44,8,42,44,0.1818,0.9545,1.0,a83528c8578c8a5b
20250109,34,13,32,34,0.3824,0.9412,1.0,a68c0bf467e5dfd3
20250110,23,8,21,23,0.3478,0.913,1.0,eaf106e967235491
20250111,11,3,11,11,0.2727,1.0,1.0,bb812a6dcf98c9fe
20250112,22,6,21,22,0.2727,0.9545,1.0,7fc07d1610b53129
20250113,23,11,19,22,0.4783,0.8261,0.9565,d98680fa4aad2165
20250114,35,7,30,35,0.2,0.8571,1.0,1114d0a1e0567fb0
20250115,45,10,39,45,0.2222,0.8667,1.0,1e31201665879d8d
20250116,36,13,33,36,0.3611,0.9167,1.0,a7e7cb5816c2cd46
20250117,24,4,20,24,0.1667,0.8333,1.0,da52a8c9daf3d0a0
20250118,12,5,10,12,0.4167,0.8333,1.0,3f452d316057f54d
20250119,21,5,21,21,0.2381,1.0,1.0,f1cea530c8b04781
20250120,24,4,23,24,0.1667,0.9583,1.0,5d31908cb2773a2a
20250121,44,17,39,44,0.3864,0.8864,1.0,caaea73edf087b7c
20250122,44,13,40,44,0.2955,0.9091,1.0,ef8af0cee3f78093
20250123,47,16,42,47,0.3404,0.8936,1.0,4f15098da0166082
20250124,24,4,22,24,0.1667,0.9167,1.0,b8ddc91c3702a1d7
20250125,12,3,11,12,0.25,0.9167,1.0,049201eafe39435c
20250126,22,7,19,22,0.3182,0.8636,1.0,0232a6dc26cbba71
20250127,23,4,21,23,0.1739,0.913,1.0,65ba0404872530db
20250128,47,14,44,47,0.2979,0.9362,1.0,1f5891944c03648c
20250129,46,11,42,46,0.2391,0.913,1.0,3105c68c0eed9037
20250130,36,7,32,36,0.1944,0.8889,1.0,58f1435264af6414
TOTAL,929,267,853,928,0.2874,0.9182,0.9989,aggregate
